Customer,SalesOrganization,DistributionChannel,Division,CustomerABCClassification,SalesOffice,SalesGroup,OrderIsBlockedForCustomer,Currency,CustomerPriceGroup,PriceListType,DeliveryPriority,ShippingCondition,IncotermsClassification,SupplyingPlant,CompleteDeliveryIsDefined,DeliveryIsBlockedForCustomer,BillingIsBlockedForCustomer,CustomerPaymentTerms,CustomerAccountAssignmentGroup,AccountByCustomer,CustomerGroup,CustomerPricingProcedure,OrderCombinationIsAllowed,PartialDeliveryIsAllowed,InvoiceDate,PaymentTerms,IncotermsTransferLocation,ItemOrderProbabilityInPercent,IncotermsLocation2,RecordCreatedDate,AuthorizationGroup,SalesDistrict,IncotermsVersion,IncotermsLocation1,DeletionIndicator,IsBusinessPurposeCompleted,SalesItemProposal,CustProdProposalProcedure,ProofOfDeliveryTime,ProofOfDeliveryTimeValue,MaxNmbrOfPartialDelivery,UnderdelivTolrtdLmtRatioInPct,OverdelivTolrtdLmtRatioInPct,IsActiveEntity,AdditionalCustomerGroup1,AdditionalCustomerGroup2,AdditionalCustomerGroup3,AdditionalCustomerGroup4,AdditionalCustomerGroup5,InvoiceListSchedule,ExchangeRateType,PaymentGuaranteeProcedure,SuplrIsRlvtForSettlmtMgmt,CustIsRlvtForSettlmtMgmt,ProductUnitGroup,SlsDocIsRlvtForProofOfDeliv,SlsUnlmtdOvrdelivIsAllwd,CreditControlArea,CustomerIsRebateRelevant,InspSbstHasNoTimeOrQuantity,ManualInvoiceMaintIsRelevant,IncotermsSupChnLoc1AddlUUID,IncotermsSupChnLoc2AddlUUID,IncotermsSupChnDvtgLocAddlUUID,SalesBlockForCustomer,CustomerStatisticsGroup,RetailAdditionalCustomerGrp6,RetailAdditionalCustomerGrp7,RetailAdditionalCustomerGrp8,RetailAdditionalCustomerGrp9,RetailAdditionalCustomerGrp10
0000000037,JP01,01,01,,,,,JPY,01,,02,01,CIF,JP01,false,,,JP01,,,,1,false,,,JP01,Makuhari,100,,,,000001,,Makuhari,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000040,PT01,ZP,ZP,,,,,EUR,02,,02,01,DDP,PT01,false,,,0001,01,,,1,false,,,0001,Lx,100,,,,PT0001,,Lx,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000041,PT01,ZP,ZP,,,,,EUR,02,,02,01,,,false,,,,,,,1,false,,,,,100,,,,PT0001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,true,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000042,PT01,ZP,ZP,,,,,EUR,02,,02,01,,,false,,,,,,,1,false,,,,,100,,,,PT0001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000043,PT01,ZP,ZP,,,,,EUR,02,,02,01,,,false,,,,,,,1,false,,,,,100,,,,PT0001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000044,PT01,ZP,ZP,,,,,EUR,02,,02,01,,,false,,,,,,,1,false,,,,,100,,,,PT0001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,true,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000066,0001,01,01,,,,,EUR,01,,01,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000067,0001,01,01,,,,,EUR,01,,01,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000079,0001,01,01,,,,,EUR,02,,02,01,,,false,,,,01,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000080,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000081,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000083,0001,01,01,,,,,EUR,02,,02,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000084,0001,01,01,,,,,EUR,02,,00,01,CFR,,false,,,,,,,1,false,,,,India,100,,,DPP,000001,,India,true,true,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,X,,,,,,
0000000085,0001,01,01,,,,,EUR,02,,02,01,CFR,,false,,,,,,,1,false,,,,India,100,,,,000001,,India,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000092,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000094,0001,01,01,,,,,EUR,02,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000095,0001,01,01,,,,,EUR,02,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000096,0001,01,01,,,,,EUR,02,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000121,0001,01,01,,,,,EUR,02,,00,01,CFR,,false,,,,,,,1,false,,,,india,100,,,,000001,,india,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000122,0001,01,01,,,,,EUR,01,,01,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000124,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000125,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,DPP,000001,,,true,true,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,X,,,,,,
0000000126,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000127,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,DPP,000001,,,true,true,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,X,,,,,,
